"","State","StateFP","CountyName","GDXCountyName","CountyFP","ClassFP","FY","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"1","AL","01","AUTAUGA COUNTY","AUTAUGA","001","H1","2007",5805.5810433758,19762.2356968662,"12555.6273170622",0,783.534684138467,0,0,151.403564007882,6271.67013165768,1143
"2","AL","01","AUTAUGA COUNTY","AUTAUGA","001","H1","2009",5893.26383504215,27499.5724318693,"17558.9293839955",0,1526.71383528188,0,0,446.61404030922,7967.31517228275,1147.49589133199
"3","AL","01","AUTAUGA COUNTY","AUTAUGA","001","H1","2008",5862.74830948792,22945.5112627602,"14716.6089094429",0,935.541470584795,0,0,273.412742558149,7019.94814017433,1250.31661080916
"4","AL","01","BALDWIN COUNTY","BALDWIN","003","H1","2007",20300.2998229529,41391.8047071041,"28076.9210487095",0,1140.3951476608,0,0,1213.70786519074,10960.7806455431,3245
"5","AL","01","BALDWIN COUNTY","BALDWIN","003","H1","2009",20484.5372334484,57199.937932345,"37345.2051742766",0,1826.67282350402,0,0,1490.42411877993,16537.6358157845,3569.54258088277
"6","AL","01","BALDWIN COUNTY","BALDWIN","003","H1","2008",20397.2462033891,47829.3756284747,"32059.7199623409",0,1186.99319911871,0,0,1159.29988037095,13423.3625866442,3340.84598408207
"7","AL","01","BARBOUR COUNTY","BARBOUR","005","H1","2008",2784.62709597076,10818.4464859384,"6519.35607833629",0,241.176352234629,0,0,93.2806049152759,3964.63345045221,581.147160704097
"8","AL","01","BARBOUR COUNTY","BARBOUR","005","H1","2007",2745.59467160773,9373.9751349988,"5841.22133920622",0,249.887805051728,0,0,96.8617957685548,3186.0041949723,588
"9","AL","01","BARBOUR COUNTY","BARBOUR","005","H1","2009",2821.18574110392,12886.3982308181,"7496.60803386339",0,332.350735531529,0,0,39.0821829841078,5018.3572784391,600.259402614816
"10","AL","01","BIBB COUNTY","BIBB","007","H1","2008",1453.15636467744,6832.88114332872,"3701.65148480823",0,105.193672888071,0,0,17.6732596599715,3008.36272597244,498.126137746369
"11","AL","01","BIBB COUNTY","BIBB","007","H1","2009",1432.21943795588,8336.43809158435,"4315.39184347392",0,170.659952564229,0,0,37.8409430495492,3812.54535249665,501.216601183371
"12","AL","01","BIBB COUNTY","BIBB","007","H1","2007",1466.88206526457,6604.94005834215,"3484.77710481734",0,111.858948097521,0,0,22.1091489474194,2986.19485647987,485
"13","AL","01","BLOUNT COUNTY","BLOUNT","009","H1","2009",4387.44479436243,16276.6260899926,"9971.46147247996",0,433.601038295986,0,0,67.9224750611236,5803.64110415556,914.395156649903
"14","AL","01","BLOUNT COUNTY","BLOUNT","009","H1","2008",4392.75511958159,15376.5756747612,"8979.27392224528",0,236.111007212747,0,0,117.661155128201,6043.52959017498,920.233025555541
"15","AL","01","BLOUNT COUNTY","BLOUNT","009","H1","2007",4401.18474517609,13487.3694551201,"7774.87798682633",0,293.964114386335,0,0,159.239680085102,5259.28767382236,904
"16","AL","01","BULLOCK COUNTY","BULLOCK","011","H1","2009",1034.25735421749,6998.94695439337,"2769.88950279064",0,94.6703285348196,0,0,5.09783869844291,4129.28928436947,268.115866501284
"17","AL","01","BULLOCK COUNTY","BULLOCK","011","H1","2008",1022.92308984178,5571.92198465609,"2296.01993789705",0,41.9220682935603,0,0,20.9095044965108,3213.07047396897,260.065855048305
"18","AL","01","BULLOCK COUNTY","BULLOCK","011","H1","2007",1012.52530145584,5059.66722571087,"2095.15820002635",0,69.0994615695194,0,0,43.8322429100517,2851.57732120495,250
"19","AL","01","BUTLER COUNTY","BUTLER","013","H1","2008",2054.79341422028,7205.1916824889,"4361.70393434761",0,170.328796647768,0,0,50.4799462033527,2622.67900529018,421.106634520525
"20","AL","01","BUTLER COUNTY","BUTLER","013","H1","2009",2037.41117805173,8572.17307926132,"5214.58187559806",0,305.813618977752,0,0,57.8953990594396,2993.88218562607,400.172935076544
"21","AL","01","BUTLER COUNTY","BUTLER","013","H1","2007",2062.75006906423,6683.70115197671,"3919.75712906915",0,193.05261095906,0,0,34.4359046145208,2536.45550733398,466
"22","AL","01","CALHOUN COUNTY","CALHOUN","015","H1","2009",12732.3914638221,63396.0323044619,"43188.1911082301",0,2238.58421787981,0,0,1119.26452814831,16849.9924502036,3126.3510552855
"23","AL","01","CALHOUN COUNTY","CALHOUN","015","H1","2008",12818.2651348989,54663.1669459797,"37338.3289356555",0,1524.8848566619,0,0,418.028846441427,15381.9243072209,3071.77784943594
"24","AL","01","CALHOUN COUNTY","CALHOUN","015","H1","2007",12883.6406847722,50378.434110823,"34517.9969376961",0,1603.18966852342,0,0,548.873174549852,13708.3743300536,2971
"25","AL","01","CHAMBERS COUNTY","CHAMBERS","017","H1","2008",3301.47359680842,14013.0400141462,"7935.51572952475",0,266.281924133318,0,0,96.7945574409468,5714.44780304716,844.213775618344
"26","AL","01","CHAMBERS COUNTY","CHAMBERS","017","H1","2007",3335.35184320645,12938.8651310173,"7410.01880626141",0,289.200794468277,0,0,243.953745684682,4995.69178460291,847
"27","AL","01","CHAMBERS COUNTY","CHAMBERS","017","H1","2009",3271.63889069934,15442.3504162592,"9038.56750696881",0,404.169559779862,0,0,42.6717257286003,5956.94162378189,827.357543270754
"28","AL","01","CHEROKEE COUNTY","CHEROKEE","019","H1","2007",2234.06093178644,6928.80343880594,"4721.23733960139",0,138.787195678115,0,0,81.2955787135636,1987.48332481287,436
"29","AL","01","CHEROKEE COUNTY","CHEROKEE","019","H1","2009",2233.67909717844,8580.32065465056,"5724.911504055",0,155.569755938672,0,0,40.6494746447984,2659.18992001209,431.186337544976
"30","AL","01","CHEROKEE COUNTY","CHEROKEE","019","H1","2008",2233.75491391126,7581.69851611657,"4942.32380699356",0,131.017949949609,0,0,82.6924760744182,2425.66428309898,435.110180561587
"31","AL","01","CHILTON COUNTY","CHILTON","021","H1","2009",3313.81752089752,16677.3323819986,"10185.8252438142",0,384.602437409194,0,0,117.378352726311,5989.52634804887,750.32425326852
"32","AL","01","CHILTON COUNTY","CHILTON","021","H1","2008",3339.46045924313,13327.0707834902,"8728.40283130786",0,275.579940309578,0,0,160.426246748763,4162.66176512401,695.176035609893
