"","State","StateFP","CountyName","GDXCountyName","CountyFP","ClassFP","FY","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"1","AL","01","AUTAUGA COUNTY","AUTAUGA","001","H1","2015",6062.8901999646,49986.9274977005,"32003.222",0,4959.635,0,0,243.388,12780.6824977005,1460
"2","AL","01","BALDWIN COUNTY","BALDWIN","003","H1","2015",20173.04075564,103194.796586509,"64011.539",0,8336.88,0,0,1708.091,29138.2865865095,4657
"3","AL","01","BARBOUR COUNTY","BARBOUR","005","H1","2015",2397.6031659785,16391.8817198353,"10848.61",0,507.188,0,0,82.328,4953.75571983531,624
"4","AL","01","BIBB COUNTY","BIBB","007","H1","2015",1311.1530495535,11744.3854917268,"7387.236",0,294.998,0,0,45.881,4016.27049172681,471
"5","AL","01","BLOUNT COUNTY","BLOUNT","009","H1","2015",4833.44252495,23180.1156156918,"10466.764",0,895.791,0,0,95.234,11722.3266156918,1040
"6","AL","01","BULLOCK COUNTY","BULLOCK","011","H1","2015",911.375218564,8166.6579555532,"4618.638",0,275.074,0,0,32.313,3240.6329555532,221
"7","AL","01","BUTLER COUNTY","BUTLER","013","H1","2015",1818.5301478068,13484.6340294368,"8668.192",0,420.82,0,0,88.767,4306.85502943676,451
"8","AL","01","CALHOUN COUNTY","CALHOUN","015","H1","2015",11884.135714245,89541.5019305622,"59918.256",0,4104.04,0,0,506.214,25012.9919305622,3260
"9","AL","01","CHAMBERS COUNTY","CHAMBERS","017","H1","2015",3099.8701845045,24741.2805725025,"15107.015",0,880.069,0,0,106.46,8647.73657250247,821
"10","AL","01","CHEROKEE COUNTY","CHEROKEE","019","H1","2015",2161.6155212949,12260.3453560666,"7771.1",0,257.25,0,0,145.992,4086.00335606659,497
"11","AL","01","CHILTON COUNTY","CHILTON","021","H1","2015",3339.3914371018,28537.4386232517,"17279.063",0,1024.029,0,0,150.114,10084.2326232517,857
"12","AL","01","CHOCTAW COUNTY","CHOCTAW","023","H1","2015",926.9753619208,10224.2766154251,"7035.571",0,155.06,0,0,94.785,2938.86061542512,333
"13","AL","01","CLARKE COUNTY","CLARKE","025","H1","2015",1752.9301615811,14194.8999440135,"9088.367",0,372.495,0,0,58.98,4675.05794401348,577
"14","AL","01","CLAY COUNTY","CLAY","027","H1","2015",1235.0727572593,7725.48164221558,"4597.204",0,183.57,0,0,43.845,2900.86264221558,325
"15","AL","01","CLEBURNE COUNTY","CLEBURNE","029","H1","2015",966.0298582575,5935.01461418559,"3453.196",0,168.17,0,0,0.299,2313.34961418559,281
