"","FY","State","StateName","VetPop","TotX","CP","Cons","EduVoc","Loan","GOE","InsInd","MedCare","Uniques"
"1","2007","AL","Alabama",416947.044383896,1534602.96013016,874876.220351888,10522.10859,58784.7035773386,0,22508.2976,22535.0376056109,545376.592405318,97907
"2","2007","AK","Alaska",74556.6519960756,244521.700066594,119804.082369977,4240.35305,11142.0158069756,0,3616.72877,2499.77103575564,103218.749033886,13767
"3","2007","AZ","Arizona",567631.659024887,1684703.01663724,806046.357377797,11927.29683,85654.0371553707,0,43628.15264,38399.3541181168,699047.818515952,119252
"4","2007","AR","Arkansas",262374.286474407,1198760.23475235,573664.459114843,4240.22662,32305.6537203058,0,25576.34538,15534.029470599,547439.520446604,85920
"5","2007","CA","California",2131939.09446646,6563257.45516908,2828637.98095984,100809.40934,314249.303899733,0,125226.73439,183341.857894334,3010992.16868517,393865
"6","2007","CO","Colorado",427705.771707401,1188979.19334037,626791.101485531,13869.17678,77770.4719177991,0,39208.85423,29879.9077159716,401459.681211073,70419
"7","2007","CT","Connecticut",253799.848104147,629318.654600569,213376.654243476,4367.77033,42599.5153963968,0,10460.19811,28847.6666966222,329666.849824074,54216
"8","2007","DE","Delaware",80592.2412589414,188186.111823017,89792.2281337434,0,7780.57661042298,0,3219.16947,5275.17832965215,82118.9592791989,13824
"9","2007","DC","District of Columbia",39243.2586698417,1666575.55017975,90232.4864959371,161385.79393,14187.5690144776,0,1257787.71124,3241.11362321327,139740.87587612,10659
"10","2007","FL","Florida",1746538.67287422,5684838.63236978,2755443.60863056,72199.47794,222907.85790475,0,95987.43934,143365.431157949,2394934.81739652,441648
"11","2007","GA","Georgia",765289.405808521,2355619.28121005,1227579.94065485,6459.84102,166499.319526107,0,73341.52348,43089.1690760172,838649.487453071,140381
"12","2007","HI","Hawaii",118633.387520296,336291.951285313,174875.715698369,414.4016,20931.3937064262,0,9753.16172,13195.1743536707,117122.104206847,19657
"13","2007","ID","Idaho",137151.904372425,403660.735997709,201041.884019185,692.09697,17107.0324102153,0,4720.73848,7430.31828051682,172668.665837792,32974
"14","2007","IL","Illinois",841679.498790907,2210728.81570389,739159.479567549,57505.65666,99379.589464639,0,78936.51765,70672.1436458955,1165075.42871581,184259
"15","2007","IN","Indiana",517763.764212776,1215536.63647742,518640.059358173,13598.00136,41412.5294543069,0,20163.56673,26739.3804190019,594983.099155934,114723
"16","2007","IA","Iowa",251420.44900067,674838.01962981,273938.143678542,291.5,22209.183752699,0,6701.18067,20146.1423616001,351551.869166969,68878
"17","2007","KS","Kansas",236595.699974136,678306.810587412,292485.194321883,1472.66801,29737.9274667723,0,9920.11853,16867.3553726693,327823.546886087,60157
"18","2007","KY","Kentucky",347012.956905914,1242309.97332117,617689.567014936,2665.81968,42512.0418580542,0,17140.31943,18108.1750993305,544194.050238851,94860
"19","2007","LA","Louisiana",325992.067303825,1138026.58288875,571054.829799556,1292.19399,38999.1951216052,0,18729.50241,20452.0769350496,487498.784632543,83431
